Features,Swap,Swap_ratio,Distance_measure,Difference,Std,Protected,NonProtected
oldpeak,0.1,10%,"Total variation
 distance(+)",-0.016025641025641017,0.008012820512820509,>=0.9,<=0.8
oldpeak,0.1,10%,"Jensen-Shannon
 divergence(+)",-0.00836207025196776,0.00418103512598388,>=0.9,<=0.8
oldpeak,0.3,30%,"Hellinger
 distance(+)",-0.04240692985242482,0.02120346492621241,>=0.9,<=0.8
oldpeak,0.3,30%,"Wasserstein
 distance(+)",-0.00481100239619466,0.00240550119809733,>=0.9,<=0.8
oldpeak,0.3,30%,"Contingency
 coefficient(-)",0.019251792217192643,0.009625896108596321,>=0.9,<=0.8
oldpeak,0.3,30%,"Total variation
 distance(+)",-0.04792429792429789,0.023962148962148946,>=0.9,<=0.8
oldpeak,0.3,30%,"Jensen-Shannon
 divergence(+)",-0.017485156730677583,0.008742578365338791,>=0.9,<=0.8
oldpeak,0.5,50%,"Hellinger
 distance(+)",0.013478501761505501,0.006739250880752751,>=0.9,<=0.8
oldpeak,0.5,50%,"Wasserstein
 distance(+)",-0.0040370875563953195,0.0020185437781976598,>=0.9,<=0.8
oldpeak,0.5,50%,"Contingency
 coefficient(-)",-0.013070525986246029,0.006535262993123014,>=0.9,<=0.8
oldpeak,0.5,50%,"Total variation
 distance(+)",0.0008265802824625468,0.0004132901412312734,>=0.9,<=0.8
oldpeak,0.5,50%,"Jensen-Shannon
 divergence(+)",0.006396389264582483,0.0031981946322912416,>=0.9,<=0.8
oldpeak,0.7,70%,"Hellinger
 distance(+)",0.04422166930448494,0.02211083465224247,>=0.9,<=0.8
oldpeak,0.7,70%,"Wasserstein
 distance(+)",-0.0003349831976128207,0.00016749159880641035,>=0.9,<=0.8
oldpeak,0.7,70%,"Contingency
 coefficient(-)",-0.06260317728605513,0.03130158864302757,>=0.9,<=0.8
oldpeak,0.7,70%,"Total variation
 distance(+)",0.07361258023022729,0.036806290115113646,>=0.9,<=0.8
oldpeak,0.7,70%,"Jensen-Shannon
 divergence(+)",0.0189322336179718,0.0094661168089859,>=0.9,<=0.8
