Feature,Swap_proportion,Metric,Direct_Impact,Indirect_Impact,Impact_Sum,Impact_Product,Value
chol,30%,"Contingency
 coefficient(-)",0.0008468716145547672,0.047006378687807104,0.04785325030236187,3.9808367813716004e-05,0.5844396063023127
chol,30%,"Total variation
 distance(+)",0.004051672012198339,0.02342700770090478,0.027478679713103117,9.491855143131084e-05,0.10189815459165302
chol,30%,"Jensen-Shannon
 divergence(+)",0.006026608488611859,0.007120640645085805,0.013147249133697664,4.2913313356028734e-05,0.03136824968626608
chol,50%,"Hellinger
 distance(+)",0.039646834440495604,0.039668262044112085,0.07931509648460769,0.0015727210178051077,0.08169489520739831
chol,50%,"Wasserstein
 distance(+)",7.474835994395954e-05,0.0015039768954861702,0.0015787252554301297,1.1241980633119906e-07,0.009154200006922008
chol,50%,"Contingency
 coefficient(-)",0.013926201713943986,0.0063262441027817085,0.020252445816725695,8.810055146698666e-05,0.5571758710165664
chol,50%,"Total variation
 distance(+)",0.02046128579023314,0.06198002905319083,0.08244131484342397,0.0012681910877442907,0.13403642173720864
chol,50%,"Jensen-Shannon
 divergence(+)",0.01962316809776382,0.019577232567048602,0.039200400664812424,0.00038416732555221104,0.04216793665350367
chol,70%,"Hellinger
 distance(+)",0.05118072997319255,0.04095959864647808,0.09214032861967063,0.0020963421581357377,0.10284881453943046
chol,70%,"Wasserstein
 distance(+)",0.001298170365042841,0.0024845676472921695,0.0037827380123350105,3.2253920896589083e-06,0.013566902757216698
chol,70%,"Contingency
 coefficient(-)",0.026710203744564565,0.007218440938463022,0.03392864468302759,0.00019280602818445315,0.5243452871345007
chol,70%,"Total variation
 distance(+)",0.0258857765029524,0.057982928359766595,0.083868704862719,0.0015009331245076185,0.1840610318657405
chol,70%,"Jensen-Shannon
 divergence(+)",0.025430447218717178,0.0198080996023218,0.04523854682103898,0.0005037288314399372,0.05122694862027184
cp,10%,"Hellinger
 distance(+)",0.04050267994770134,0.04029920582330823,0.08080188577100958,0.0016322258356079955,0.03789514210599735
cp,10%,"Wasserstein
 distance(+)",0.00179524940348134,0.0034315654205124826,0.005226814823993823,6.160515774182228e-06,0.0037341282580184263
cp,10%,"Contingency
 coefficient(-)",0.05981629255519294,0.0202776281633138,0.08009392071850674,0.001212932538542198,0.5809771699376691
cp,10%,"Total variation
 distance(+)",0.07942285507853528,0.07086685211311615,0.1502897071916514,0.0056284477252520155,0.06769434340413592
cp,10%,"Jensen-Shannon
 divergence(+)",0.014623072303269497,0.018547166681443156,0.03317023898471265,0.00027121655940353425,0.018479975244824306
cp,30%,"Hellinger
 distance(+)",0.017894590251235187,0.03524306375243029,0.05313765400366548,0.0006306601850478992,0.10306537911179474
cp,30%,"Wasserstein
 distance(+)",0.0018076058404390607,0.00631524784855469,0.00812285368899375,1.141547889486767e-05,0.014288706663903826
cp,30%,"Contingency
 coefficient(-)",0.043285396391308906,0.031309041573681085,0.07459443796498999,0.0013552242751487557,0.5118627301194061
cp,30%,"Total variation
 distance(+)",0.04309999264574077,0.06502626414401982,0.1081262567897606,0.002802631506387251,0.19273300998491827
cp,30%,"Jensen-Shannon
 divergence(+)",0.0030177772157371496,0.013462045682233692,0.01647982289797084,4.062545473705751e-05,0.05197631507239717
cp,50%,"Hellinger
 distance(+)",0.01107419416376923,0.03168149755462779,0.04275569171839702,0.0003508470553189282,0.13526963486061405
cp,50%,"Wasserstein
 distance(+)",0.0014262769574658572,0.007849236934926007,0.009275513892391864,1.1195185773974897e-05,0.020616160214834662
cp,50%,"Contingency
 coefficient(-)",0.048692939866262774,0.05468334630616367,0.10337628617242645,0.0026626928933720503,0.4606775556849907
cp,50%,"Total variation
 distance(+)",0.038227388830012976,0.07271382786581801,0.11094121669583099,0.0027796597711452578,0.2625120901446054
cp,50%,"Jensen-Shannon
 divergence(+)",0.0006793620921368843,0.008284907221594598,0.008964269313731482,5.628451903222487e-06,0.06729333511924916
cp,70%,"Hellinger
 distance(+)",0.029534396291320014,0.05162589472124371,0.08116029101256372,0.0015247396335911778,0.15973115110071814
