ID,Feature,Category,swap_proportion,Acc,Acc_after,distortion_multiple,distortion_feature,Distortion_hellinger,Distortion_wasserstein,cramers_v_distortion,total_variation_distortion,Distortion_kl,Distortion_js,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,worse_case_unfair,epsilon_unfair,SP,SP_after,TPR,TPR_after,FPR,FPR_after
F_1,race,1,0.7,81.751,80.757,0.14000819000819,0.70004095004095,8.169362518949502,0.07729659948749096,0.2895877706215482,0.6974015088012523,0.08931487164850734,0.14526561377517058,1.9054746752872158,0.007624614895780079,0.5949480565242191,0.13593042672519096,0.007869825297810395,0.04337035123582734,6.55,19.243,1151.499999999994,503.45454545454595,0.147,0.148,0.431,0.413,0.051,0.059
F_2,sex,0,0.7,90.901,88.801,0.14000819000819,0.70004095004095,8.169362518949502,0.03635029273195522,0.3550858732306052,0.7019438444924971,0.12061720161939687,0.1704271959435972,1.2017155488645272,0.009669861699310741,0.5306392168553163,0.20918669122269246,0.007792370938462757,0.042808949477250106,4.9,11.199,3728.6666666667215,3728.6666666667215,0.052,0.082,0.324,0.363,0.018,0.047
F_2,sex,1,0.7,78.355,77.939,0.14000819000819,0.70004095004095,8.169362518949502,0.03635029273195522,0.3550858732306052,0.7019438444924971,0.12061720161939687,0.1704271959435972,1.8369052766244471,0.012764571141413255,0.5923323830437467,0.17955850517971578,0.008646368985074204,0.04494238116945773,7.421,22.061,3728.6666666667215,3728.6666666667215,0.182,0.138,0.444,0.364,0.068,0.039
F_3,capital-gain,<=3471,0.7,81.775,81.703,0.003070682509222893,0.00010238558410975762,35.40165495963563,0.2561186568793391,0.948154465502813,0.9267893902868559,inf,0.7739176202827777,0.14029965976654368,5.091855077290962e-06,0.7056883082434352,0.0012348466484824825,0.00012705849022112207,0.005590616486823231,0.072,18.297,9.333333333333336,0.0,0.101,0.101,0.301,0.299,0.049,0.05
F_3,capital-gain,>=3674,0.7,94.468,89.362,0.003070682509222893,0.00010238558410975762,35.40165495963563,0.2561186568793391,0.948154465502813,0.9267893902868559,inf,0.7739176202827777,0.41081555842761175,0.0026764764101746734,0.6343127507541516,0.10568920194143369,0.013008358262767767,0.05678546496181887,7.66,10.638,18.5,1.3333333333333333,0.702,0.685,0.952,0.905,0.075,0.134
F_4,capital-loss,<=1876,0.7,82.42,82.039,0.0064843048135445145,0.00010238558410975726,36.08251837233743,0.26624741256520673,0.9482817154384481,0.949447698717652,inf,0.7741194420825771,0.38349096968708907,6.527688477981947e-05,0.6986311740613095,0.008165443348684636,0.0009075054860163579,0.014942975249184986,0.52,17.961,4.5,0.0,0.127,0.126,0.391,0.382,0.049,0.052
F_4,capital-loss,>=1887,0.7,95.154,59.471,0.0064843048135445145,0.00010238558410975726,36.08251837233743,0.26624741256520673,0.9482817154384481,0.949447698717652,inf,0.7741194420825771,0.8842873303619896,0.050247798533463596,0.3619445463784708,0.5179581481093878,0.04454983093871884,0.10541897145700191,37.445,40.529,48.99999999999997,10.999999999999998,0.749,0.419,0.96,0.509,0.074,0.13
F_5,hours-per-week,<=40,0.7,87.43,84.096,0.04280248896903947,0.00010238558410975757,2.7127732265082543,0.001201524967551465,0.9172133643932134,0.25408390000622844,inf,1.2690811804854538,1.2427792416239996,0.0072488773824375885,0.5719183796182322,0.1331818747819689,0.008163003508075216,0.044583488516266936,6.934,15.904,446.76923076922486,260.00000000000045,0.092,0.147,0.415,0.47,0.013,0.068
F_5,hours-per-week,>=41,0.7,74.491,73.529,0.04280248896903947,0.00010238558410975757,2.7127732265082543,0.001201524967551465,0.9172133643932134,0.25408390000622844,inf,1.2690811804854538,1.0607923234265604,0.008457266465264528,0.629553952120158,0.13579646048095684,0.011034674378409713,0.0515988008247138,8.993,26.471,310.00000000000455,135.0000000000003,0.39,0.354,0.646,0.596,0.17,0.144
F_0,age,>=38,0.1,73.805,73.846,0.005442431032370708,0.00010238558410975746,1.1228324983506382e-31,1.0038754082766371e-66,0.9902603454101111,0.045406173428835746,inf,0.3580405328477849,0.7116092309349029,0.002589685688920786,0.6922774790323409,0.039855790900979154,0.0019877785540514336,0.021117007344142992,1.401,26.154,468.0000000000009,40.800000000000054,0.223,0.211,0.443,0.427,0.108,0.099
