ID,ID2,Feature,Feature2,Category1,Category2,swap_proportion,Type,Acc,Acc_after,distortion_multiple,distortion_feature,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,effect_distance,effect_distance_contrained,SP,SP_after,TPR,TPR_after,FPR,FPR_after
F_2,F_3,cp,trestbps,>=3.0,>=135.0,0.5,NII,0,0,0,0,0.13971357903482584,0.0,0.4472135954999579,0.75,0.11857125932564855,0.17113993768875682,33.333,33.333,0.6666666666666666,1.0,0,0,0,0,0,0
F_2,F_3,cp,trestbps,>=3.0,<=134.0,0.5,NDI,85.714,71.429,0,0,0.13971357903482584,0.0,0.5673052362514961,0.15555555555555556,0.02536297748992401,0.0791695512695567,14.286,28.571,0.14285714285714285,1.0,0.643,0.643,0.889,0.778,0.2,0.4
F_2,F_3,cp,trestbps,>=3.0,<=134.0,0.5,NII,0,0,0,0,0.098792419159368,0.05232385196076311,0.0,0.4166666666666667,0.03979838739579626,0.09950562917154632,33.333,33.333,0.3333333333333333,1.0,0,0,0,0,0,0
F_2,F_4,cp,chol,<=2.0,<=245.0,0.5,NDI,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.2,0.2,0,0,0.2,0.2
F_2,F_4,cp,chol,<=2.0,<=245.0,0.5,NII,0,0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,7.692,0.0,0.0,0,0,0,0,0,0
F_2,F_4,cp,chol,<=2.0,>=246.0,0.5,NDI,0.0,100.0,0,0,0,0,0.0,0,0,0,100.0,0.0,0,0,1.0,0.0,0,0,1.0,0.0
F_2,F_4,cp,chol,<=2.0,>=246.0,0.5,NII,0,0,0,0,0,0,0.7071067811865476,0,0,0,0.0,11.111,0,0,0,0,0,0,0,0
F_2,F_4,cp,chol,>=3.0,<=245.0,0.5,NDI,69.231,69.231,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,30.769,0.0,0.0,0.615,0.615,0.833,0.833,0.429,0.429
F_2,F_4,cp,chol,>=3.0,<=245.0,0.5,NII,0,0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0,0,0,0,0,0
F_2,F_4,cp,chol,>=3.0,>=246.0,0.5,NDI,77.778,77.778,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,22.222,0.0,0.0,0.556,0.556,0.714,0.714,0.0,0.0
F_2,F_4,cp,chol,>=3.0,>=246.0,0.5,NII,0,0,0,0,0.098792419159368,0.15697155588228934,0.0,0.5,0.0,0.0,100.0,0.0,1.0,1.0,0,0,0,0,0,0
F_2,F_5,cp,fbs,>=3.0,0.0,0.5,NDI,73.684,63.158,0,0,0.13971357903482584,0.01652332167181993,0.6271032028034079,0.19444444444444445,0.01664312805299293,0.06432653033015409,10.526,36.842,0.10526315789473684,1.0,0.632,0.526,0.769,0.615,0.333,0.333
F_2,F_5,cp,fbs,>=3.0,0.0,0.5,NII,0,0,0,0,0.13971357903482584,0.05232385196076311,0.0,0.4166666666666667,0.03924911882130269,0.09950562917154632,16.667,0.0,0.3333333333333333,1.0,0,0,0,0,0,0
F_2,F_5,cp,fbs,>=3.0,1.0,0.5,NDI,80.0,80.0,0,0,0.0,0.0,0.7071067811865476,0.0,0.0,0.0,0.0,20.0,0.0,0.0,0.4,0.4,1.0,1.0,0.25,0.25
