ID,Feature,Category,swap_proportion,Acc,Acc_after,distortion_multiple,distortion_feature,Distortion_hellinger,Distortion_wasserstein,cramers_v_distortion,total_variation_distortion,Distortion_kl,Distortion_js,hellinger_div,wasserstein_div,cramers_v_div,total_variation_div,KL_div,JS_Div,Casuality,Importance,SP,SP_after,TPR,TPR_after,FPR,FPR_after
F_2,sex,0,0.7,91.282,89.926,0.14001433104719008,0.7000716552359505,8.169959847398292,0.03645905008669409,0.3568387287249968,0.6981450252952048,0.12079835460036922,0.17054024454709363,1.1726848032316168,0.009147470728967702,0.5233499441922297,0.21325166248953692,0.007750792901854382,0.04233795604235814,4.498,10.074,0.048,0.071,0.313,0.36,0.017,0.038
F_2,sex,1,0.7,77.633,77.326,0.14001433104719008,0.7000716552359505,8.169959847398292,0.03645905008669409,0.3568387287249968,0.6981450252952048,0.12079835460036922,0.17054024454709363,1.8186026402566298,0.0128128363302403,0.5951865699173294,0.17464967492156913,0.008284001632744996,0.04414718348916549,7.175,22.674,0.179,0.136,0.428,0.351,0.07,0.04
F_3,capital-gain,<=3471,0.7,81.617,81.545,0.008146028576167514,0.00010237510237510246,35.441074614688304,0.25650081515010736,0.956105945405027,0.9337519935009894,inf,0.7745270510248742,0.13971357903482584,0.00011382998976235608,0.7055880937303706,0.0022431514452505626,0.00012719213040020041,0.005562285047094528,0.073,18.455,0.094,0.093,0.268,0.264,0.051,0.051
F_3,capital-gain,>=3674,0.7,95.238,96.296,0.008146028576167514,0.00010237510237510246,35.441074614688304,0.25650081515010736,0.956105945405027,0.9337519935009894,inf,0.7745270510248742,0.13971357903482584,0.001661074665421051,0.697549136302577,0.026460447010692938,0.0018561488671255412,0.0214960726174538,1.058,3.704,0.735,0.725,0.978,0.978,0.113,0.075
F_4,capital-loss,<=1876,0.7,82.437,82.367,0.008431813245919864,0.00010237510237510256,36.03549809155766,0.26544424430436203,0.9542187487302102,0.9487463328301012,inf,0.7714631654631067,0.197584838318736,0.00010897018804740681,0.7047746174979308,0.0029822224053753545,0.0002417630911933744,0.0076958796896722595,0.139,17.633,0.12,0.12,0.372,0.369,0.051,0.051
F_4,capital-loss,>=1887,0.7,92.121,56.364,0.008431813245919864,0.00010237510237510256,36.03549809155766,0.26544424430436203,0.9542187487302102,0.9487463328301012,inf,0.7714631654631067,0.760882021388013,0.0551310409948033,0.39018405867201345,0.5340326039249137,0.04207425067856735,0.10258461593224796,36.97,43.636,0.782,0.424,0.939,0.492,0.152,0.152
F_5,hours-per-week,<=40,0.7,87.843,85.067,0.05881210327543431,0.00010237510237510253,2.8528761309649093,0.0015417232608087921,0.9144617783195572,0.2532205912684044,inf,1.344429816927192,1.0485137542150182,0.004403719720884951,0.6187694692601802,0.09714401215798467,0.006327433936752417,0.03927146014467997,4.818,14.933,0.107,0.14,0.465,0.478,0.013,0.052
F_5,hours-per-week,>=41,0.7,75.877,75.089,0.05881210327543431,0.00010237510237510253,2.8528761309649093,0.0015417232608087921,0.9144617783195572,0.2532205912684044,inf,1.344429816927192,0.7319036651216466,0.00415698973576764,0.6692089882290339,0.07909768793645278,0.006711823192747452,0.040397442630121835,4.796,24.911,0.405,0.383,0.674,0.642,0.166,0.153
F_0,age,>=38,0.1,75.163,74.848,0.006666997264465653,0.00010238558410975749,1.0911970478010722e-31,7.170538720573711e-67,0.9901701411122308,0.04613819678514509,inf,0.35196704063298284,0.6837357379018218,0.002544833764647444,0.6925886925944603,0.03877333838920488,0.001831829619497844,0.020469863826445445,1.325,25.152,0.212,0.201,0.448,0.428,0.086,0.08
F_0,age,<=37,0.1,88.814,88.521,0.006666997264465653,0.00010238558410975749,1.0911970478010722e-31,7.170538720573711e-67,0.9901701411122308,0.04613819678514509,inf,0.35196704063298284,0.528594448114952,0.0007897304519376245,0.6792848470589707,0.03177883972681403,0.0011213178292546993,0.01634740571764057,0.796,11.479,0.055,0.058,0.293,0.295,0.016,0.02
