Features,Swap,Swap_ratio,Distance_measure,Difference,Std,Protected,NonProtected
hours-per-week,0.6,60%,"Jensen-Shannon
 divergence(+)",-0.004151513623516061,0.0020757568117580304,<=40,>=41
hours-per-week,0.8,80%,"Hellinger
 distance(+)",-0.10165294952343504,0.05082647476171752,<=40,>=41
hours-per-week,0.8,80%,"Wasserstein
 distance(+)",-0.00011685185051841986,5.842592525920993e-05,<=40,>=41
hours-per-week,0.8,80%,"Contingency
 coefficient(-)",-0.0005432070215634077,0.00027160351078170386,<=40,>=41
hours-per-week,0.8,80%,"Total variation
 distance(+)",-0.003091376431291405,0.0015456882156457026,<=40,>=41
hours-per-week,0.8,80%,"Jensen-Shannon
 divergence(+)",-0.00150504639225707,0.000752523196128535,<=40,>=41
hours-per-week,0.95,95%,"Hellinger
 distance(+)",-0.10083906423263583,0.05041953211631791,<=40,>=41
hours-per-week,0.95,95%,"Wasserstein
 distance(+)",0.00010757088492324013,5.3785442461620064e-05,<=40,>=41
hours-per-week,0.95,95%,"Contingency
 coefficient(-)",-0.0020559590298891983,0.0010279795149445992,<=40,>=41
hours-per-week,0.95,95%,"Total variation
 distance(+)",0.00199481864217807,0.000997409321089035,<=40,>=41
hours-per-week,0.95,95%,"Jensen-Shannon
 divergence(+)",0.0006380293736621898,0.0003190146868310949,<=40,>=41
