Swap_ration,Measurement,Feature,thalach,thal,sex,trestbps,restecg,age,exang,ca,fbs,chol,cp,oldpeak,,Measurement&Feature&thalach&thal&sex&trestbps&restecg&age&exang&ca&fbs&chol&cp&oldpeak\\
0.5,Total variation distance,fbs,0.066,0.188,0.032,0.079,0.014,0.034,0.035,0.199,1,0.059,0.203,0.144,,Total variation distance&fbs&0.066&0.188&0.032&0.079&0.014&0.034&0.035&0.199&1&0.059&0.203&0.144\\
0.5,Total variation distance,chol,0.118,0.222,0.085,0.131,0.079,0.094,0.086,0.175,0.088,1,0.186,0.151,,Total variation distance&chol&0.118&0.222&0.085&0.131&0.079&0.094&0.086&0.175&0.088&1&0.186&0.151\\
0.5,Total variation distance,cp,0.228,0.277,0.219,0.222,0.196,0.183,0.189,0.319,0.204,0.188,1,0.246,,Total variation distance&cp&0.228&0.277&0.219&0.222&0.196&0.183&0.189&0.319&0.204&0.188&1&0.246\\
0.5,Total variation distance,oldpeak,0.125,0.248,0.146,0.193,0.148,0.147,0.144,0.225,0.122,0.149,0.258,1,,Total variation distance&oldpeak&0.125&0.248&0.146&0.193&0.148&0.147&0.144&0.225&0.122&0.149&0.258&1\\
0.5,Wasserstein distance,thalach,1,0.012,0.002,0.002,0.003,0.002,0.003,0.01,0.005,0.006,0.011,0.004,,Wasserstein distance&thalach&1&0.012&0.002&0.002&0.003&0.002&0.003&0.01&0.005&0.006&0.011&0.004\\
0.5,Wasserstein distance,thal,0.011,1,0.011,0.01,0.012,0.014,0.01,0.022,0.011,0.015,0.013,0.014,,Wasserstein distance&thal&0.011&1&0.011&0.01&0.012&0.014&0.01&0.022&0.011&0.015&0.013&0.014\\
0.5,Wasserstein distance,sex,0.005,0.012,1,0.004,0.003,0.003,0.004,0.012,0.003,0.003,0.013,0.006,,Wasserstein distance&sex&0.005&0.012&1&0.004&0.003&0.003&0.004&0.012&0.003&0.003&0.013&0.006\\
0.5,Wasserstein distance,trestbps,0.005,0.011,0.004,1,0.005,0.004,0.004,0.013,0.003,0.007,0.01,0.007,,Wasserstein distance&trestbps&0.005&0.011&0.004&1&0.005&0.004&0.004&0.013&0.003&0.007&0.01&0.007\\
0.5,Wasserstein distance,restecg,0.004,0.012,0.003,0.003,1,0.003,0.001,0.008,0.001,0.004,0.009,0.007,,Wasserstein distance&restecg&0.004&0.012&0.003&0.003&1&0.003&0.001&0.008&0.001&0.004&0.009&0.007\\
0.5,Wasserstein distance,age,0.003,0.014,0.003,0.006,0.002,1,0.003,0.011,0.001,0.004,0.008,0.006,,Wasserstein distance&age&0.003&0.014&0.003&0.006&0.002&1&0.003&0.011&0.001&0.004&0.008&0.006\\
0.5,Wasserstein distance,exang,0.005,0.01,0.004,0.002,0.001,0.002,1,0.013,0.001,0.004,0.008,0.01,,Wasserstein distance&exang&0.005&0.01&0.004&0.002&0.001&0.002&1&0.013&0.001&0.004&0.008&0.01\\
0.5,Wasserstein distance,ca,0.01,0.022,0.013,0.011,0.01,0.011,0.012,1,0.012,0.009,0.02,0.011,,Wasserstein distance&ca&0.01&0.022&0.013&0.011&0.01&0.011&0.012&1&0.012&0.009&0.02&0.011\\
0.5,Wasserstein distance,fbs,0.004,0.011,0.002,0.003,0.001,0.002,0.002,0.013,1,0.003,0.012,0.009,,Wasserstein distance&fbs&0.004&0.011&0.002&0.003&0.001&0.002&0.002&0.013&1&0.003&0.012&0.009\\
0.5,Wasserstein distance,chol,0.006,0.014,0.005,0.006,0.006,0.006,0.005,0.01,0.007,1,0.011,0.006,,Wasserstein distance&chol&0.006&0.014&0.005&0.006&0.006&0.006&0.005&0.01&0.007&1&0.011&0.006\\
0.5,Wasserstein distance,cp,0.01,0.012,0.012,0.009,0.01,0.01,0.011,0.019,0.012,0.011,1,0.012,,Wasserstein distance&cp&0.01&0.012&0.012&0.009&0.01&0.01&0.011&0.019&0.012&0.011&1&0.012\\
0.5,Wasserstein distance,oldpeak,0.004,0.011,0.008,0.008,0.007,0.008,0.006,0.011,0.007,0.007,0.014,1,,Wasserstein distance&oldpeak&0.004&0.011&0.008&0.008&0.007&0.008&0.006&0.011&0.007&0.007&0.014&1\\
